    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.180E+00  0.190E-03  0.196E-04  0.126E-02  0.274E-02  0.601E-04  0.553E+02  0.100E-14  0.191E-09  0.349E-05  0.132E-04  0.600E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.106E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.190E+00  0.234E-03  0.187E-04  0.108E-02  0.247E-02  0.587E-04  0.553E+02  0.100E-14  0.194E-09  0.417E-05  0.110E-04  0.587E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.106E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.200E+00  0.280E-03  0.183E-04  0.897E-03  0.220E-02  0.583E-04  0.553E+02  0.100E-14  0.195E-09  0.501E-05  0.915E-05  0.582E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.104E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.210E+00  0.299E-03  0.183E-04  0.740E-03  0.192E-02  0.586E-04  0.553E+02  0.100E-14  0.191E-09  0.606E-05  0.792E-05  0.586E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.194E-03  0.472E-05  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.220E+00  0.278E-03  0.200E-04  0.633E-03  0.166E-02  0.616E-04  0.553E+02  0.100E-14  0.181E-09  0.604E-05  0.817E-05  0.615E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.273E-06  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.230E+00  0.250E-03  0.227E-04  0.535E-03  0.139E-02  0.656E-04  0.553E+02  0.100E-14  0.170E-09  0.600E-05  0.727E-05  0.656E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.206E-06  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.240E+00  0.227E-03  0.249E-04  0.443E-03  0.115E-02  0.689E-04  0.553E+02  0.100E-14  0.160E-09  0.615E-05  0.692E-05  0.689E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.590E-08  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.250E+00  0.205E-03  0.271E-04  0.358E-03  0.928E-03  0.722E-04  0.553E+02  0.100E-14  0.152E-09  0.625E-05  0.621E-05  0.722E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.260E+00  0.186E-03  0.291E-04  0.284E-03  0.733E-03  0.751E-04  0.553E+02  0.100E-14  0.145E-09  0.630E-05  0.547E-05  0.751E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.270E+00  0.171E-03  0.309E-04  0.220E-03  0.565E-03  0.778E-04  0.553E+02  0.100E-14  0.139E-09  0.631E-05  0.464E-05  0.777E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.280E+00  0.159E-03  0.326E-04  0.168E-03  0.428E-03  0.799E-04  0.553E+02  0.100E-14  0.134E-09  0.632E-05  0.381E-05  0.798E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
