    time      Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s    c/s      porosity    pH       tot._Na_aq tot._K_aq    Ca_total   vx         tx       dtb_Ca++   dtb_CO3--  dtb_Mg++   dtb_Cl-    dtb_OH-    dtb_H2O    dtb_zzz    dtc_H+     dtc_CaCO3a dtc_MgCO3a dtc_HCO3-  dtc_H2CO3a dtc_CH4_aq dtc_H2_aq  dtc_O2_aq  stb_Ca++   stb_CO3--  stb_Mg++   stb_Cl-    stb_OH-    stb_H2O    stb_zzz     sumqwater  delta-t    delta-q   dtb_Ca++   dtb_CO3--  dtb_Mg++   dtb_Cl-    dtb_OH-    dtb_H2O    dtb_zzz   
  0.100E+01  0.125E-03  0.374E-04  0.971E-07  0.200E-06  0.871E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.288E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.125E-03  0.937E-05  0.128E-09  0.373E-06  0.112E-06  0.291E-09  0.600E-09  0.261E-06  0.166E+00  0.300E-17  0.359E-12  0.195E-07  0.865E-11  0.261E-06  0.672E-10  0.000E+00  0.000E+00  0.300E-07  0.373E-06  0.112E-06  0.291E-09  0.600E-09  0.261E-06  0.166E+00  0.300E-17  0.300E-03  0.100E+01  0.300E-03  0.393E-06  0.393E-06  0.300E-09  0.600E-09  0.538E-13  0.166E+00  0.300E-17
  0.100E+03  0.124E-03  0.372E-04  0.621E-05  0.128E-04  0.868E-04  0.553E+02  0.100E-14  0.120E-09  0.641E-05  0.183E-06  0.868E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.124E-03  0.937E-05  0.128E-09  0.372E-06  0.111E-06  0.309E-07  0.637E-07  0.260E-06  0.166E+00  0.300E-17  0.361E-12  0.190E-07  0.908E-09  0.260E-06  0.672E-10  0.000E+00  0.000E+00  0.300E-07  0.745E-06  0.223E-06  0.312E-07  0.643E-07  0.521E-06  0.332E+00  0.600E-17  0.300E-01  0.990E+02  0.297E-01  0.764E-06  0.503E-06  0.321E-07  0.643E-07  0.261E-06  0.332E+00  0.600E-17
  0.500E+03  0.106E-03  0.269E-04  0.330E-03  0.673E-03  0.726E-04  0.553E+02  0.100E-14  0.149E-09  0.342E-05  0.610E-05  0.725E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.106E-03  0.937E-05  0.128E-09  0.282E-06  0.616E-07  0.160E-05  0.325E-05  0.191E-06  0.166E+00  0.300E-17  0.500E-12  0.482E-08  0.289E-07  0.191E-06  0.672E-10  0.000E+00  0.000E+00  0.300E-07  0.103E-05  0.285E-06  0.163E-05  0.332E-05  0.712E-06  0.498E+00  0.900E-17  0.150E+00  0.400E+03  0.120E+00  0.103E-05  0.510E-06  0.166E-05  0.332E-05  0.521E-06  0.498E+00  0.900E-17
  0.900E+03  0.828E-04  0.174E-04  0.705E-03  0.143E-02  0.577E-04  0.553E+02  0.100E-14  0.192E-09  0.158E-05  0.766E-05  0.577E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.828E-04  0.937E-05  0.128E-09  0.187E-06  0.257E-07  0.313E-05  0.631E-05  0.132E-06  0.166E+00  0.300E-17  0.686E-12 -0.934E-09  0.293E-07  0.132E-06  0.672E-10  0.000E+00  0.000E+00  0.300E-07  0.121E-05  0.310E-06  0.475E-05  0.962E-05  0.845E-06  0.664E+00  0.120E-16  0.270E+00  0.400E+03  0.120E+00  0.121E-05  0.471E-06  0.478E-05  0.962E-05  0.712E-06  0.664E+00  0.120E-16
  0.100E+04  0.187E-03  0.235E-04  0.693E-03  0.158E-02  0.667E-04  0.553E+02  0.100E-14  0.167E-09  0.467E-05  0.983E-05  0.667E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.873E-04  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.187E-03  0.937E-05  0.128E-09  0.678E-06  0.420E-07  0.290E-05  0.675E-05  0.163E-06  0.166E+00  0.300E-17  0.580E-12  0.123E-07  0.353E-07  0.163E-06  0.672E-10  0.000E+00  0.000E+00  0.300E-07  0.189E-05  0.352E-06  0.765E-05  0.164E-04  0.101E-05  0.830E+00  0.150E-16  0.300E+00  0.100E+03  0.300E-01  0.190E-05  0.563E-06  0.769E-05  0.164E-04  0.845E-06  0.830E+00  0.150E-16
  0.300E+04  0.121E-03  0.225E-04  0.157E-02  0.321E-02  0.640E-04  0.553E+02  0.100E-14  0.181E-09  0.248E-05  0.183E-04  0.640E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.317E-05  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.121E-03  0.937E-05  0.128E-09  0.349E-06  0.654E-07  0.542E-05  0.110E-04  0.188E-06  0.166E+00  0.300E-17  0.558E-12  0.656E-08  0.600E-07  0.188E-06  0.672E-10  0.000E+00  0.000E+00  0.300E-07  0.316E-05  0.720E-06  0.326E-04  0.661E-04  0.201E-05  0.166E+01  0.300E-16  0.900E+00  0.400E+03  0.120E+00  0.316E-05  0.975E-06  0.327E-04  0.661E-04  0.182E-05  0.166E+01  0.300E-16
  0.380E+04  0.986E-04  0.217E-04  0.172E-02  0.348E-02  0.626E-04  0.553E+02  0.100E-14  0.187E-09  0.187E-05  0.186E-04  0.625E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.986E-04  0.937E-05  0.128E-09  0.246E-06  0.610E-07  0.575E-05  0.115E-04  0.181E-06  0.166E+00  0.300E-17  0.581E-12  0.407E-08  0.581E-07  0.181E-06  0.672E-10  0.000E+00  0.000E+00  0.300E-07  0.370E-05  0.847E-06  0.439E-04  0.888E-04  0.238E-05  0.199E+01  0.360E-16  0.114E+01  0.400E+03  0.120E+00  0.371E-05  0.109E-05  0.440E-04  0.888E-04  0.219E-05  0.199E+01  0.360E-16
  0.500E+04  0.538E-04  0.893E-05  0.184E-02  0.369E-02  0.402E-04  0.553E+02  0.100E-14  0.291E-09  0.423E-06  0.824E-05  0.402E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.538E-04  0.937E-05  0.128E-09  0.664E-07 -0.423E-08  0.585E-05  0.117E-04  0.677E-07  0.166E+00  0.300E-17  0.110E-11 -0.231E-08 -0.540E-09  0.676E-07  0.671E-10  0.000E+00  0.000E+00  0.300E-07  0.406E-05  0.898E-06  0.614E-04  0.124E-03  0.270E-05  0.249E+01  0.450E-16  0.150E+01  0.400E+03  0.120E+00  0.406E-05  0.963E-06  0.614E-04  0.124E-03  0.263E-05  0.249E+01  0.450E-16
  0.580E+04  0.387E-04  0.574E-05  0.189E-02  0.378E-02  0.322E-04  0.553E+02  0.100E-14  0.363E-09  0.196E-06  0.545E-05  0.322E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.387E-04  0.937E-05  0.128E-09  0.122E-07 -0.221E-07  0.590E-05  0.118E-04  0.251E-07  0.166E+00  0.300E-17  0.147E-11 -0.310E-08 -0.181E-07  0.250E-07  0.671E-10  0.000E+00  0.000E+00  0.300E-07  0.411E-05  0.861E-06  0.732E-04  0.147E-03  0.277E-05  0.282E+01  0.510E-16  0.174E+01  0.400E+03  0.120E+00  0.411E-05  0.865E-06  0.731E-04  0.147E-03  0.274E-05  0.282E+01  0.510E-16
  0.660E+04  0.320E-04  0.499E-05  0.192E-02  0.384E-02  0.300E-04  0.553E+02  0.100E-14  0.390E-09  0.146E-06  0.477E-05  0.300E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.320E+00  0.000E+00  0.000E+00  0.000E+00  0.320E-04  0.937E-05  0.128E-09  0.574E-08 -0.194E-07  0.594E-05  0.119E-04  0.231E-07  0.166E+00  0.300E-17  0.158E-11 -0.223E-08 -0.167E-07  0.230E-07  0.671E-10  0.000E+00  0.000E+00  0.300E-07  0.412E-05  0.816E-06  0.850E-04  0.171E-03  0.281E-05  0.315E+01  0.570E-16  0.198E+01  0.400E+03  0.120E+00  0.412E-05  0.821E-06  0.850E-04  0.171E-03  0.279E-05  0.315E+01  0.570E-16
