    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.180E+00  0.810E-04  0.263E-04  0.190E-02  0.378E-02  0.690E-04  0.553E+02  0.100E-14  0.170E-09  0.185E-05  0.248E-04  0.689E-04  0.223E-07  0.000E+00  0.000E+00  0.998E-05  0.000E+00  0.000E+00  0.110E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.190E+00  0.879E-04  0.254E-04  0.186E-02  0.370E-02  0.678E-04  0.553E+02  0.100E-14  0.173E-09  0.195E-05  0.235E-04  0.677E-04  0.224E-07  0.000E+00  0.000E+00  0.998E-05  0.000E+00  0.000E+00  0.109E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.200E+00  0.964E-04  0.244E-04  0.180E-02  0.362E-02  0.666E-04  0.553E+02  0.100E-14  0.176E-09  0.207E-05  0.221E-04  0.665E-04  0.224E-07  0.000E+00  0.000E+00  0.998E-05  0.000E+00  0.000E+00  0.110E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.210E+00  0.109E-03  0.232E-04  0.173E-02  0.351E-02  0.650E-04  0.553E+02  0.100E-14  0.179E-09  0.225E-05  0.204E-04  0.649E-04  0.226E-07  0.000E+00  0.000E+00  0.998E-05  0.000E+00  0.000E+00  0.109E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.220E+00  0.124E-03  0.221E-04  0.166E-02  0.339E-02  0.634E-04  0.553E+02  0.100E-14  0.183E-09  0.246E-05  0.187E-04  0.633E-04  0.222E-07  0.000E+00  0.000E+00  0.998E-05  0.000E+00  0.000E+00  0.109E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.230E+00  0.144E-03  0.208E-04  0.156E-02  0.325E-02  0.617E-04  0.553E+02  0.100E-14  0.188E-09  0.273E-05  0.168E-04  0.616E-04  0.223E-07  0.000E+00  0.000E+00  0.999E-05  0.000E+00  0.000E+00  0.107E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.240E+00  0.170E-03  0.196E-04  0.145E-02  0.308E-02  0.599E-04  0.553E+02  0.100E-14  0.193E-09  0.308E-05  0.149E-04  0.597E-04  0.224E-07  0.000E+00  0.000E+00  0.999E-05  0.000E+00  0.000E+00  0.107E-03  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.250E+00  0.204E-03  0.185E-04  0.132E-02  0.290E-02  0.583E-04  0.553E+02  0.100E-14  0.197E-09  0.354E-05  0.130E-04  0.582E-04  0.206E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.106E-03  0.000E+00  0.320E+00  0.769E+01  0.937E-05  0.100E-09
  0.260E+00  0.246E-03  0.174E-04  0.118E-02  0.271E-02  0.570E-04  0.553E+02  0.100E-14  0.201E-09  0.411E-05  0.112E-04  0.569E-04  0.264E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.000E+00  0.105E-03  0.000E+00  0.320E+00  0.758E+01  0.937E-05  0.100E-09
  0.270E+00  0.294E-03  0.168E-04  0.102E-02  0.249E-02  0.561E-04  0.553E+02  0.100E-14  0.204E-09  0.483E-05  0.951E-05  0.560E-04  0.255E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.446E-07  0.104E-03  0.000E+00  0.320E+00  0.759E+01  0.937E-05  0.100E-09
