xCa= 1 xC=0 xO=8 xMg=5 xCl=2
 xCalcite=4 xDolomite=5 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
79	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
80	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
81	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
82	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
83	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
84	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
85	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
86	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
87	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
88	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
89	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
90	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
91	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
92	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
93	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
94	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
95	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
96	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
97	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
98	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
99	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
100	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
Time step: 1  Time, s: 10000	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
0	7.63901	0.0100387	0.0529763	0.545193	0	1e-07	1000	7.7037
1	7.2346	0.0275302	0.0353994	0.545189	38.9452	0.390463	1000	1.88452
2	7.12863	0.0362921	0.0266109	0.545187	38.9452	0.390463	1000	1.07456
3	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
4	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
5	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
6	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
7	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
8	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
9	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
10	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
11	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
12	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
13	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
14	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
15	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
16	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
17	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
18	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
19	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
