xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
64	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
65	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
66	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
67	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
68	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
69	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
70	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
71	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
72	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
73	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
74	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
75	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
76	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
77	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
78	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
79	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
80	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
81	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
82	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
83	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
84	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
85	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
86	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
87	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
88	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
89	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
90	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
91	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
92	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
93	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
94	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
95	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
96	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
97	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
98	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
99	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
100	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
Time step: 1  Time, s: 10000	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
0	6.65605	9.90189e-08	0.01	0.02	8.81089e-10	1e-10	50000	1.38445e-14
1	9.35344	0.00012334	0.00365174	0.00720013	0.000165956	2.01864e-07	50000	7.62371
2	9.65346	0.000126503	0.000459867	0.000800192	0.000190453	2.01864e-05	50000	8.42135
3	9.68304	0.000101926	5.99236e-05	2e-07	0.000214071	2.01864e-05	50000	1.04324
4	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
5	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
6	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
7	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
8	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
9	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
10	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
11	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
12	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
13	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
14	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
15	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
16	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
17	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
18	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
19	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
20	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
21	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
22	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
23	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
24	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
25	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
26	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
27	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
28	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
29	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
30	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
31	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
32	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
33	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
34	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
35	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
36	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
37	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
38	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
39	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
40	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
41	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
42	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
43	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
44	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
45	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
46	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
47	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
48	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
